lab_id	personal_id	date
58KF41941	19973881-1798	2025-04-30
28KF00412	19005140-2571	2025-02-09
25KF58528	20212474-2205	2025-04-18
86KF93738	19736244-4357	2025-05-12
71KF52915	20036044-6010	2025-02-02
21KF87751	19107281-2134	2025-10-05
11KF20185	19484007-5122	2025-09-06
83KF74125	19097569-9097	2025-02-09
77KF34508	19458549-5071	2025-07-22
95KF49797	19365796-3713	2025-02-02
39KF96505	19531431-4354	2025-04-18
73KF14789	19979198-3243	2025-04-30
13KF92192	19793491-8095	2025-04-30
52KF72125	19423564-7106	2025-02-01
94KF54504	19567798-9926	2025-04-18
69KF50830	20036560-8116	2025-12-02
27KF20363	19401943-5703	2025-04-18
56KF71108	19278088-5007	2025-07-22
66KF71813	19220371-7124	2025-12-26
51KF75832	19631032-9218	2025-02-06
51KF20106	19631032-9218	2025-12-02
99KF15925	19024172-8519	2025-12-04
24KF87146	19097569-9097	2025-10-05
89KF73493	19268355-5742	2025-04-18
74KF68501	19341779-1797	2025-12-04
89KF95975	19668439-4657	2025-05-05
66KF62394	19134452-3434	2025-06-07
35KF19032	19531431-4354	2025-11-06
49KF52330	19598140-2008	2025-02-06
50KF51776	20219319-9779	2025-01-07
93KF98669	19423564-7106	2025-07-22
40KF05633	20036044-6010	2025-12-02
27KF47289	19444581-9116	2025-04-30
13KF54096	19825265-2545	2025-02-06
21KF00394	19401943-5703	2025-10-05
22KF34266	19133989-6547	2025-12-31
33KF93205	19444581-9116	2025-12-04
26KF61568	19580583-4924	2025-07-22
90KF20438	19979198-3243	2025-06-07
79KF23881	19992737-6435	2025-02-01
16KF38994	19819722-9241	2025-09-06
48KF31620	19091576-6137	2025-05-05
33KF73736	19091576-6137	2025-05-05
92KF12370	19042687-1245	2025-06-07
28KF81181	19945127-1040	2025-09-06
48KF26146	19091576-6137	2025-10-13
40KF91529	19378294-4539	2025-05-05
85KF52326	19491802-7789	2025-07-22
39KF97056	19613281-4961	2025-10-13
76KF71316	19736244-4357	2025-05-05
97KF32902	19992737-6435	2025-11-24
50KF34128	19305367-7511	2025-01-07
57KF24227	19467303-8698	2025-12-04
37KF73150	19655890-1202	2025-12-31
80KF35645	19438477-9403	2025-01-07
44KF70719	19567798-9926	2025-02-02
82KF15420	19269444-1055	2025-02-01
11KF97696	19714504-4369	2025-06-07
39KF52486	19378294-4539	2025-11-06
88KF06817	19714504-4369	2025-02-06
13KF82058	19458549-5071	2025-09-06
35KF39817	19577602-6530	2025-02-02
32KF07291	19819722-9241	2025-01-07
90KF00603	19438477-9403	2025-12-31
25KF82164	19091576-6137	2025-11-06
90KF72089	19220371-7124	2025-02-09
99KF04400	19613281-4961	2025-05-05
33KF00625	19278088-5007	2025-07-22
68KF85930	19042687-1245	2025-12-02
63KF84818	20036560-8116	2025-04-18
62KF52984	19042687-1245	2025-11-06
85KF98839	19530187-1487	2025-09-06
67KF29564	19278088-5007	2025-06-07
42KF13393	19401943-5703	2025-01-07
91KF71932	19214752-5642	2025-11-24
10KF33057	20036560-8116	2025-12-26
70KF36916	19491802-7789	2025-04-30
40KF45659	19438477-9403	2025-05-05
55KF51774	19214752-5642	2025-02-01
10KF04380	19349602-8246	2025-02-09
71KF66793	19491802-7789	2025-06-07
99KF21158	19365796-3713	2025-02-09
75KF82648	20229088-9582	2025-11-24
14KF97328	19444581-9116	2025-10-13
64KF87498	19613281-4961	2025-05-12
80KF25329	19530187-1487	2025-02-06
18KF16635	19024172-8519	2025-02-01
51KF49033	19491802-7789	2025-09-06
34KF20187	19598140-2008	2025-07-22
93KF01127	19531431-4354	2025-10-13
54KF96316	19024172-8519	2025-02-06
79KF21548	19091576-6137	2025-05-12
57KF76057	19613281-4961	2025-12-26
37KF47987	19107281-2134	2025-02-09
18KF05723	19024172-8519	2025-09-06
95KF03932	19580583-4924	2025-05-05
89KF14869	20229088-9582	2025-02-09
66KF31024	19530187-1487	2025-04-18
76KF45889	19972845-1241	2025-07-22
92KF03492	19401943-5703	2025-06-07
